iter	Logloss
0	0.6450035322
1	0.5803397142
2	0.5448695686
3	0.4829015975
4	0.4673426812
5	0.4304929912
6	0.416248578
7	0.3986554994
8	0.3935270583
9	0.383527211
10	0.3667715527
11	0.3634114395
12	0.356987156
13	0.3516285449
14	0.349422971
15	0.3468272208
16	0.3422573849
17	0.3411634727
18	0.3379980749
19	0.3344314852
20	0.3316022363
21	0.32894452
22	0.3278022096
23	0.3247307261
24	0.322830028
25	0.3202713205
26	0.31876593
27	0.3149754532
28	0.3086721159
29	0.3067419449
30	0.30458694
31	0.3026560508
32	0.3002918375
33	0.297631517
34	0.2963667137
35	0.2946496354
36	0.2924784889
37	0.2907155844
38	0.2889718382
39	0.2876327388
40	0.2855445733
41	0.2814350045
42	0.2795111741
43	0.277825699
44	0.2750013763
45	0.2727133064
46	0.2714899343
47	0.2696227025
48	0.267633472
49	0.2663693588
50	0.2651093494
51	0.2642505016
52	0.2619025905
53	0.2606431124
54	0.2597702658
55	0.258726526
56	0.2574245705
57	0.2553904497
58	0.2540019209
59	0.2520798358
60	0.2508960737
61	0.2491272042
62	0.2475693205
63	0.2459924443
64	0.2444833488
65	0.2428512561
66	0.2403925016
67	0.2391389819
68	0.2376163159
69	0.2359007374
70	0.2346602301
71	0.2336761653
72	0.2325246999
73	0.2311937995
74	0.2292168516
75	0.2288503746
76	0.2283586162
77	0.2275882233
78	0.2258603362
79	0.2254117013
80	0.2247606953
81	0.2242228708
82	0.2231262061
83	0.222253174
84	0.2211869833
85	0.2194966996
86	0.2188021616
87	0.2175891795
88	0.2159406215
89	0.21369595
90	0.2122685147
91	0.2113910174
92	0.2101878942
93	0.2081645232
94	0.2069582668
95	0.205664059
96	0.2047966218
97	0.2037748681
98	0.2030467077
99	0.2018498007
100	0.2008116889
101	0.1999114067
102	0.1990332324
103	0.1981566757
104	0.1970072667
105	0.1959827152
106	0.1954843323
107	0.1943574187
108	0.1938614915
109	0.1934976189
110	0.192509274
111	0.1915588574
112	0.1903848117
113	0.1892551288
114	0.1888833803
115	0.1880090777
116	0.1855452906
117	0.184188228
118	0.1836260351
119	0.1828818855
120	0.182237087
121	0.1812997309
122	0.1805722214
123	0.1800258243
124	0.1792859172
125	0.1789310118
126	0.1773788356
127	0.1756708752
128	0.1750875272
129	0.1740597706
130	0.1734832856
131	0.1726538925
132	0.1719692092
133	0.1710174
134	0.1705813435
135	0.1701743385
136	0.1696093936
137	0.1687946225
138	0.167727197
139	0.1662466591
140	0.1654684964
141	0.1649367801
142	0.1640612858
143	0.163439117
144	0.1629142357
145	0.1624195747
146	0.1619673738
147	0.1610424176
148	0.1602832374
149	0.1596809486
150	0.1595121986
151	0.1588924401
152	0.1587329127
153	0.1581031298
154	0.1577391347
155	0.1568696796
156	0.156714309
157	0.1561015822
158	0.1557115259
159	0.1553473518
160	0.1549773183
161	0.1545440547
162	0.1536611499
163	0.1528934392
164	0.1525404128
165	0.1520979255
166	0.1516328522
167	0.1506085376
168	0.1498011115
169	0.1492749578
170	0.148451729
171	0.1478814106
172	0.1475786297
173	0.1468996169
174	0.1465390139
175	0.145284109
176	0.1447947538
177	0.1443485781
178	0.1439819801
179	0.1432310682
180	0.1427303187
181	0.1423923896
182	0.1418142854
183	0.1408995225
184	0.1407017288
185	0.1401054941
186	0.1397781898
187	0.1393991243
188	0.1387657846
189	0.1378807464
190	0.1373412205
191	0.1368146622
192	0.1359427304
193	0.1351131667
194	0.1342991458
195	0.1336859124
196	0.1330246833
197	0.1324049363
198	0.1317601293
199	0.1308772304
200	0.1304571649
